	       time	   Inlet_SPL_db       Origin_SPL_db     Top_Wall_SPL_db	 Bottom_Wall_SPL_db	  Outlet_SPL_db
             0.0002  -2.88571629987e-07               1e-06               1e-06               1e-06               1e-06
             0.0004   2.02188169901e-07               1e-06               1e-06               1e-06               1e-06
             0.0006  -1.59081955757e-07               1e-06               1e-06               1e-06               1e-06
             0.0008   1.30800876074e-07               1e-06               1e-06               1e-06               1e-06
              0.001  -1.09794257769e-07               1e-06               1e-06               1e-06               1e-06
             0.0012   9.31149661789e-08               1e-06               1e-06               1e-06               1e-06
             0.0014  -7.93501990885e-08               1e-06               1e-06               1e-06               1e-06
             0.0016   6.77245018087e-08   9.99999999929e-07   9.99999999981e-07   9.99999999929e-07   9.99999999929e-07
             0.0018   -5.7766925237e-08   9.99999991295e-07   9.99999997814e-07   9.99999991295e-07   9.99999991485e-07
              0.002   4.91671014155e-08   9.99999473069e-07   9.99999873885e-07   9.99999473069e-07   9.99999492553e-07
             0.0022   -4.1705940189e-08   9.99982555073e-07   9.99995979437e-07   9.99982555073e-07   9.99983571371e-07
             0.0024   3.52195483806e-08   9.99661470264e-07   9.99924108885e-07   9.99661470255e-07   9.99690699184e-07
             0.0026  -2.95792556253e-08   9.95959803599e-07   9.99109370237e-07   9.95959803461e-07   9.96451694288e-07
             0.0028   2.46800348345e-08   9.69412897268e-07   9.93282151622e-07   9.69412895966e-07   9.74461833427e-07
              0.003  -2.04335069001e-08   8.50772827195e-07   9.66758644528e-07   8.50772819565e-07   8.83209053615e-07
             0.0032   1.67635712952e-08   5.30480086691e-07   8.90977983169e-07   5.30480058623e-07   6.62299918386e-07
             0.0034  -1.36036163554e-08   6.03197965158e-08    7.6164031607e-07   6.03197323178e-08   3.97423811396e-07
             0.0036   1.08946543598e-08  -1.78802505744e-07   6.45140454035e-07  -1.78802594714e-07    3.5396692488e-07
             0.0038  -8.58401229882e-09  -8.28109717113e-09    6.0312220175e-07   -8.2811675289e-09   5.17149363703e-07
              0.004   6.62442738781e-09    8.6821900338e-08    5.8021775818e-07   8.68218747697e-08   5.02764049107e-07
             0.0042  -4.97513553987e-09  -4.98898918911e-08   5.28671746329e-07  -4.98898914887e-08   3.83148209938e-07
             0.0044   3.55837489086e-09  -5.62835059561e-09    4.9894669374e-07  -5.62834217502e-09   4.34558342598e-07
             0.0046  -3.04125577334e-09   3.31813580066e-08    4.7935711584e-07   3.31813544149e-08     4.148057972e-07
             0.0048  -6.21660783336e-09  -3.29095898156e-08   4.47265500692e-07  -3.29096161397e-08   3.61601461976e-07
              0.005  -7.83928104933e-08    1.9454799367e-08   4.31097874242e-07   1.94547808266e-08    3.9159530976e-07
             0.0052  -6.03415192033e-07  -4.71852512557e-09   4.10455591435e-07  -4.71854187449e-09   3.45982323294e-07
             0.0054  -3.62748244762e-06  -5.74712303752e-09   3.91866467573e-07  -5.74713430235e-09   3.47653678786e-07
             0.0056  -1.67673601224e-05   1.09537266943e-08   3.78482815993e-07   1.09537298202e-08   3.36353784492e-07
             0.0058  -5.87572149742e-05  -1.20297200191e-08   3.61199347156e-07   -1.2029720957e-08   3.15719784832e-07
              0.006  -0.000151626067883   1.06025450621e-08   3.50173996425e-07   1.06025409235e-08   3.19032490442e-07
             0.0062  -0.000269552931763  -8.05038382092e-09   3.36039795421e-07  -8.05038185091e-09   2.95468982807e-07
             0.0064  -0.000267761329628   5.29422512769e-09   3.25653992026e-07     5.294234782e-09   2.98561645595e-07
             0.0066   4.07111019673e-05  -2.84022535061e-09   3.14415301358e-07  -2.84021486664e-09    2.8053683644e-07
             0.0068   0.000560136966631   8.98844803549e-10   3.04559167787e-07   8.98856896644e-10   2.79206451224e-07
              0.007   0.000790100632125   4.98476557564e-10   2.95386535619e-07   4.98486038579e-10   2.67446382004e-07
             0.0072   0.000431936214393  -1.41221937233e-09   2.86281438868e-07  -1.41221660559e-09   2.62347459278e-07
             0.0074  -0.000100136780828   1.93758173646e-09   2.78480014181e-07   1.93758120598e-09   2.55080126822e-07
             0.0076  -0.000382136537444  -2.18140250867e-09   2.70252864627e-07  -2.18139921651e-09   2.47964111679e-07
             0.0078   -0.00057377661477   2.17675083873e-09   2.63380795595e-07   2.17676208855e-09   2.43205173485e-07
              0.008  -0.000671991884431  -2.35901955926e-09   2.56003112576e-07  -2.35900540198e-09   2.35501347739e-07
             0.0082   -0.00040193145847   7.16538070452e-10   2.49687578251e-07   7.16545881205e-10   2.31309466299e-07
             0.0084   2.85287724503e-05  -7.29593334839e-09   2.42549527507e-07  -7.29593121584e-09   2.21881314742e-07
             0.0086    0.00037562600343  -1.93394467768e-08   2.34797338015e-07  -1.93394408848e-08   2.10972258718e-07
             0.0088   0.000651059297482  -6.73661986887e-08   2.22503550022e-07  -6.73660945978e-08   1.83072208526e-07
